DEGREANE;Degreane Horizon;
Delta-T devices;Delta-T Devices Ltd;
Graw, Deutschland;GRAW Radiosondes GmbH & Co. KG.;
Leosphere, France;LEOSPHERE;
METEK;METEK, Meteorologische Messtechnik GmbH;
OTT;OTT Messtecknik GmbH & Co. KG;
Radiometer Physics;Radiometer Physics GmbH;
Rotronik;ROTRONIC Instrument Corp.;
Scintec;Scintec AG;
Seabird;Sea-Bird Electronics, Inc.;
Vaisala Windcap ;Vaisala OYJ;
Vaisala;Vaisala OYJ;
Vector Instruments;Vector Instruments (Windspeed) Ltd.;
Yankee Environmental Systems;Yankee Environmental Systems Inc.;http://www.yesinc.com/
RAYMETRICS GREECE;Raymetrics;http://www.raymetrics.gr/
RADIOMETRICS;Radiometrics Corporation;http://www.radiometrics.com/
Metocean;MatOcean;http://www.metocean.com/
New Mexico Tech;New Mexico Tech;http://www.nmt.edu/
LMCT;Lockheed Martin Coherent Technologies;http://www.lockheedmartin.com/
Campbell Scientific;Campbell Scientific;http://www.campbellsci.com/
Campbell;Campbell Scientific;http://www.campbellsci.com/
Datawell;Datawell BV;http://www.datawell.nl
THE EPPLEY LABORATORY, INC.;Eppley Laboratory;http://www.eppleylab.com/
Pyrocontrole;Pyro-Contrôle;http://www.pyro-controle.com/
METCON;Metcon;http://website.metcon-us.com/
Young;R.M. Young Company;http://www.youngusa.com/
LSEET;LSEET;http://lseet.univ-tln.fr/
UK Met Office;UK Met Office;http://www.metoffice.gov.uk/
LMU;LMU;http://www.en.uni-muenchen.de/index.html
ONERA;ONERA;http://www.onera.fr/
LA;LA;www.aero.obs-mip.fr/
KIT;KIT;
AIR;AIR;
Previstorm;Previstorm;
Canon;Canon;
NKE;NKE;
Marlin;Marlin;
C-BAND;C-BAND;
S-BAND;S-BAND;
X-BAND;X-BAND;
CNRM + DEGREANE + TOMCO;CNRM;www.cnrm.meteo.fr/
